time,omega,current,load,v_bus,temp
0.0002880096435546875,0.0,0.0,0.0,12.0,25.0
0.0006930828094482422,0.0,0.0,0.0,12.0,25.0
0.0009996891021728516,0.0,0.0,0.0,12.0,25.0
0.0012476444244384766,0.0,0.0029854927674992926,0.0,11.999973130565092,25.00000000010517
0.0025780200958251953,0.0,0.005686871649933083,0.0,11.999924635663733,25.0000000007288
0.004031181335449219,0.0,0.008131168277953238,0.0,11.999858991582858,25.000000002235097
0.005394697189331055,0.0,0.010342842996104277,0.0,11.999780006837607,25.000000004878643
0.006747722625732422,0.0,0.012344029386912668,0.0,11.999690909889365,25.000000008828394
0.008110284805297852,0.0,0.014154755547255881,0.0,11.999594426100504,25.00000001418698
0.009462356567382812,0.0,0.015793144326646517,0.0,11.999492845191513,25.000000021006105
0.010816574096679688,0.0,0.017275594527107002,0.0,11.999388080321618,25.000000029298896
0.012203693389892578,0.0,0.018616944874295112,0.0,11.999281719785587,25.000000039049606
0.013566970825195312,0.0,0.019830622397575517,0.0,11.999175072205452,25.00000005022144
0.015053510665893555,0.0,0.020928776701103907,0.0,11.999069205994596,25.000000062762584
0.016438007354736328,0.006372372896563761,0.7502615703106191,0.0,11.99240993126234,25.000006638129868
0.017813920974731445,0.017171492476790073,0.6772643449097432,0.0,11.987073559031918,25.00002176498234
0.01923227310180664,0.02692788165621925,0.6111162592387911,0.0,11.982866156795577,25.000034088943288
0.02065277099609375,0.03573877130465019,0.5511748973279476,0.0,11.979618967040068,25.00004412112231
0.02210068702697754,0.043692380166311065,0.49685811683378134,0.0,11.977185347284557,25.000052280292596
0.0224609375,0.05086875983662055,0.44614848257331985,0.0,11.975451476212942,25.000058888379087
0.023945093154907227,0.05734054084605886,0.40019986244737343,0.0,11.974304529829622,25.00006421760904
0.02542710304260254,0.06317359936615612,0.3585654753225994,0.0,11.973646987568758,25.000068508108324
0.026850223541259766,0.06842768779548414,0.3208404809988784,0.0,11.973394724482892,25.000071955956724
0.02833080291748047,0.07315700007137237,0.28665804097017067,0.0,11.973475329665872,25.000074721173196
0.029782772064208984,0.07741068550788208,0.25568574947108513,0.0,11.973826624954047,25.000076934262022
0.03128671646118164,0.08123331571623904,0.22762239995701714,0.0,11.974395360859027,25.00007870157853
0.03274416923522949,0.08466530878485362,0.2021950554534097,0.0,11.975136069274043,25.000080109726436
0.03420567512512207,0.08774331454391689,0.17915639418602927,0.0,11.976010054798964,25.000081229160976
0.03563809394836426,0.0905005644133694,0.15828230459881673,0.0,11.97698450857768,25.000082117140654
0.03708338737487793,0.09296718903163012,0.13936970630571044,0.0,11.97803173036316,25.00008282014484
0.0385289192199707,0.09517050658456012,0.12223457573207433,0.0,11.979128446145255,25.000083375853386
0.03998208045959473,0.0971352844983716,0.10671015720192177,0.0,11.980255210115912,25.00008381476712
0.04140448570251465,0.09888397692520036,0.09264534203880857,0.0,11.981395881025971,25.000084161534005
0.04283857345581055,0.10043694023446588,0.07990319988899297,0.0,11.982537164124373,25.00008443603404
0.043190956115722656,0.10181280188602124,0.07334296310699885,0.0,11.983623361043973,25.000084654536703
0.044599294662475586,0.10302844304576175,0.06985768456079025,0.0,11.98463230577853,25.000084831826726
0.04603981971740723,0.1040990412160222,0.06669322734984813,0.0,11.985568836154528,25.000084980106028
0.04745197296142578,0.10503835326702343,0.0638203505954915,0.0,11.986437569383714,25.000085108928157
0.04889225959777832,0.10585884807157335,0.06121247332557721,0.0,11.987242900185413,25.00008522571725
0.05031394958496094,0.10657182680792407,0.05884543291059584,0.0,11.987989001270675,25.000085336189663
0.051767587661743164,0.1071875320678968,0.056697265398462565,0.0,11.988679825755021,25.00008544469621
